sex,age,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,Y25-74,PC_ACT,FI	13.7 	13.0 	11.0 	9.7 	8.6 	8.1 	7.6 	7.4 	7.2 	7.2 	6.8 	6.2 	5.4 	4.9 	6.4 	6.6 	6.1 	6.1 	6.5 	7.0 	7.6 	7.3 
T,Y25-74,PC_ACT,FR	6.2 i	6.3 	6.3 	6.1 	6.0 	5.2 	4.8 	4.7 	7.3 	7.5 	7.4 	7.3 	6.7 	6.1 	7.4 	7.7 	7.7 	8.2 	8.8 	8.9 	8.9 	8.6 
T,Y25-74,PC_ACT,HR	: 	: 	: 	: 	: 	12.2 	12.3 	12.1 	11.3 	11.3 	10.6 	9.6 i	8.2 	6.9 	7.6 	9.6 	11.5 	13.4 	14.6 	14.6 	13.7 	11.4 
T,Y25-74,PC_ACT,HU	: 	8.4 	7.7 	7.5 	5.8 	5.4 	4.8 	4.8 	4.9 	5.2 	6.1 	6.5 	6.5 	6.9 i	8.8 	10.0 	9.9 	9.7 	8.9 	6.7 	6.0 	4.5 
T,Y25-74,PC_ACT,IE	10.6 	10.2 	8.6 	6.6 	4.8 	3.6 	3.2 	3.6 	3.7 	3.6 	3.6 	3.7 	3.8 	5.2 	10.1 	12.0 	12.9 	12.9 	11.6 	10.0 	8.4 	7.0 
T,Y25-74,PC_ACT,IT	8.1 	8.3 	8.5 	8.7 	8.5 	7.9 	7.3 	6.9 	6.8 	6.5 	6.2 	5.5 	4.9 	5.6 	6.4 	6.9 	6.9 	8.9 	10.2 	10.6 	10.0 	10.0 
T,Y25-74,PC_ACT,LT	: 	: 	: 	11.9 	12.9 	14.8 	15.9 	12.8 	11.1 	9.9 	7.7 	5.4 	3.9 	5.0 	12.2 	16.1 	13.9 	12.2 	10.9 	9.9 	8.5 	7.3 
T,Y25-74,PC_ACT,LU	2.3 	2.3 	2.1 	2.2 	1.9 	1.8 	1.5 	2.1 	3.2 	4.1 	3.8 	3.8 i	3.3 	3.9 	4.1 	3.8 	4.1 	4.2 	5.1 	5.0 	5.5 	5.3 
T,Y25-74,PC_ACT,LV	: 	: 	: 	: 	12.6 	13.3 	12.2 i	11.4 	10.6 	10.6 	9.3 	6.1 	5.4 	6.9 	15.4 	17.4 	14.6 	13.6 	10.7 	10.0 	9.3 	9.0 
T,Y25-74,PC_ACT,MT	: 	: 	: 	: 	: 	4.7 	4.0 	4.8 	5.2 	4.7 	4.7 	4.8 	4.9 	4.8 	5.3 	5.6 	5.0 	4.9 	5.2 	4.8 	4.4 	3.7 
T,Y25-74,PC_ACT,NL	6.5 	6.0 	5.3 	4.0 	3.2 	2.8 	2.3 	2.9 i	3.9 	4.6 	4.8 	4.1 	3.2 	2.7 	3.2 	3.9 	4.0 	4.7 	6.1 	6.5 	6.1 	5.1 
T,Y25-74,PC_ACT,PL	: 	: 	9.3 	8.6 	11.1 	13.3 	14.9 	16.6 	16.4 	16.1 	15.2 	11.8 	8.1 	5.8 	6.7 i	8.1 	8.0 	8.5 	8.8 	7.7 	6.4 	5.2 
